epsilon_progress,nfe,scenario_name
0,0,good_scen
4,100,good_scen
13,1195,good_scen
19,2286,good_scen
62,3382,good_scen
140,4480,good_scen
203,5576,good_scen
259,6671,good_scen
325,7766,good_scen
362,8863,good_scen
409,9956,good_scen
541,11102,good_scen
632,12251,good_scen
696,13394,good_scen
757,14542,good_scen
823,15689,good_scen
885,16837,good_scen
930,17987,good_scen
974,19135,good_scen
1018,20283,good_scen
1049,21433,good_scen
1092,22582,good_scen
1124,23733,good_scen
1157,24877,good_scen
1172,25452,good_scen
0,0,good_scen
3,100,good_scen
12,1193,good_scen
21,2287,good_scen
77,3380,good_scen
181,4478,good_scen
238,5574,good_scen
289,6672,good_scen
317,7769,good_scen
339,8863,good_scen
367,9960,good_scen
495,11274,good_scen
575,12594,good_scen
621,13919,good_scen
699,15246,good_scen
777,16565,good_scen
842,17891,good_scen
895,19214,good_scen
935,20537,good_scen
969,21865,good_scen
1006,23188,good_scen
1035,24515,good_scen
1052,25178,good_scen
0,0,good_scen
3,100,good_scen
13,1194,good_scen
22,2285,good_scen
119,3384,good_scen
248,4482,good_scen
368,5576,good_scen
436,6673,good_scen
491,7769,good_scen
539,8867,good_scen
582,9962,good_scen
728,11099,good_scen
840,12235,good_scen
915,13375,good_scen
969,14513,good_scen
1029,15651,good_scen
1085,16789,good_scen
1137,17928,good_scen
1180,19061,good_scen
1216,20197,good_scen
1260,21335,good_scen
1293,22472,good_scen
1325,23609,good_scen
1349,24745,good_scen
1360,25125,good_scen
0,0,ref_scen
5,100,ref_scen
14,1194,ref_scen
47,2288,ref_scen
182,3381,ref_scen
263,4469,ref_scen
324,5566,ref_scen
396,6662,ref_scen
437,7757,ref_scen
477,8851,ref_scen
526,9937,ref_scen
638,10985,ref_scen
708,12032,ref_scen
778,13077,ref_scen
828,14120,ref_scen
882,15163,ref_scen
927,16210,ref_scen
968,17257,ref_scen
1000,18303,ref_scen
1026,19349,ref_scen
1055,20397,ref_scen
1080,21445,ref_scen
1107,22492,ref_scen
1141,23537,ref_scen
1160,24584,ref_scen
1175,25108,ref_scen
0,0,ref_scen
7,100,ref_scen
15,1188,ref_scen
62,2282,ref_scen
148,3381,ref_scen
221,4477,ref_scen
299,5567,ref_scen
363,6665,ref_scen
413,7761,ref_scen
453,8854,ref_scen
515,9953,ref_scen
695,11222,ref_scen
809,12494,ref_scen
877,13762,ref_scen
926,15031,ref_scen
978,16303,ref_scen
1014,17574,ref_scen
1045,18845,ref_scen
1084,20116,ref_scen
1108,21387,ref_scen
1139,22658,ref_scen
1163,23930,ref_scen
1184,25200,ref_scen
0,0,ref_scen
4,100,ref_scen
12,1198,ref_scen
49,2288,ref_scen
193,3382,ref_scen
303,4480,ref_scen
358,5576,ref_scen
399,6672,ref_scen
431,7769,ref_scen
462,8865,ref_scen
493,9957,ref_scen
632,11279,ref_scen
720,12606,ref_scen
800,13930,ref_scen
865,15256,ref_scen
916,16578,ref_scen
971,17905,ref_scen
1009,19232,ref_scen
1050,20556,ref_scen
1094,21881,ref_scen
1133,23207,ref_scen
1172,24534,ref_scen
1194,25196,ref_scen
0,0,bad_scen
6,100,bad_scen
15,1195,bad_scen
63,2291,bad_scen
170,3385,bad_scen
272,4481,bad_scen
332,5571,bad_scen
355,6665,bad_scen
367,7757,bad_scen
380,8851,bad_scen
392,9948,bad_scen
415,10997,bad_scen
417,12010,bad_scen
418,13022,bad_scen
419,14029,bad_scen
421,15042,bad_scen
422,16056,bad_scen
424,17065,bad_scen
424,18098,bad_scen
424,19138,bad_scen
424,20173,bad_scen
425,21203,bad_scen
425,22232,bad_scen
425,23256,bad_scen
425,24297,bad_scen
425,25025,bad_scen
0,0,bad_scen
4,100,bad_scen
4,1195,bad_scen
7,2291,bad_scen
30,3389,bad_scen
69,4487,bad_scen
93,5585,bad_scen
107,6681,bad_scen
120,7774,bad_scen
139,8873,bad_scen
144,9967,bad_scen
170,10970,bad_scen
181,12036,bad_scen
185,13046,bad_scen
185,14050,bad_scen
185,15055,bad_scen
185,16055,bad_scen
186,17063,bad_scen
186,18066,bad_scen
186,19092,bad_scen
186,20113,bad_scen
187,21129,bad_scen
189,22129,bad_scen
189,23129,bad_scen
189,24130,bad_scen
189,25016,bad_scen
